,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_workers,device,trainset,network
0,1,1,0.5019639374388337,0.81325,104.00544023513794,104.09785461425781,0.0005,2,1,cuda,normal,no_batch_norm
1,1,2,0.35741587538504294,0.8686333333333334,101.602623462677,205.779470205307,0.0005,2,1,cuda,normal,no_batch_norm
2,1,3,0.32082382220865935,0.8797333333333334,102.22421741485596,308.0731213092804,0.0005,2,1,cuda,normal,no_batch_norm
3,1,4,0.2996490639543295,0.88895,101.74182391166687,409.88046765327454,0.0005,2,1,cuda,normal,no_batch_norm
4,1,5,0.2835993128257401,0.8949333333333334,100.48804330825806,510.43186235427856,0.0005,2,1,cuda,normal,no_batch_norm
5,1,6,0.27191704950195167,0.8984666666666666,100.88880562782288,611.3938884735107,0.0005,2,1,cuda,normal,no_batch_norm
6,1,7,0.26497326365885643,0.9018,101.31760501861572,712.7842638492584,0.0005,2,1,cuda,normal,no_batch_norm
7,1,8,0.25845038768782624,0.9038666666666667,101.44388389587402,814.2896897792816,0.0005,2,1,cuda,normal,no_batch_norm
8,1,9,0.2529997157657551,0.9061666666666667,100.96409559249878,915.321031332016,0.0005,2,1,cuda,normal,no_batch_norm
9,1,10,0.24753725000187293,0.9082833333333333,102.65082001686096,1018.0420551300049,0.0005,2,1,cuda,normal,no_batch_norm
10,1,11,0.24119257973709282,0.90935,100.58416652679443,1118.6927332878113,0.0005,2,1,cuda,normal,no_batch_norm
11,1,12,0.23799232275956134,0.9110166666666667,100.71567893028259,1219.472463607788,0.0005,2,1,cuda,normal,no_batch_norm
12,1,13,0.23804429191348542,0.91145,100.32254719734192,1319.8577945232391,0.0005,2,1,cuda,normal,no_batch_norm
13,1,14,0.24002944096593049,0.9102666666666667,99.90014386177063,1419.8261444568634,0.0005,2,1,cuda,normal,no_batch_norm
14,1,15,0.24000380530924864,0.9104,100.21838712692261,1520.1114497184753,0.0005,2,1,cuda,normal,no_batch_norm
15,1,16,0.23643790231171669,0.91325,100.65743827819824,1620.8377928733826,0.0005,2,1,cuda,normal,no_batch_norm
16,1,17,0.23804133769096272,0.9127166666666666,100.37690377235413,1721.2882351875305,0.0005,2,1,cuda,normal,no_batch_norm
17,1,18,0.23652189247841315,0.9130166666666667,100.25996494293213,1821.6246206760406,0.0005,2,1,cuda,normal,no_batch_norm
18,1,19,0.23697184486218564,0.91275,100.32508730888367,1922.0240578651428,0.0005,2,1,cuda,normal,no_batch_norm
19,1,20,0.23716676834712166,0.9128,99.90277171134949,2021.9954478740692,0.0005,2,1,cuda,normal,no_batch_norm
20,2,1,1.1712052160164963,0.5778166666666666,127.82513642311096,127.8932523727417,0.0005,2,1,cuda,normal,batch_norm
21,2,2,0.9793449719009338,0.6346166666666667,127.38273096084595,255.36316585540771,0.0005,2,1,cuda,normal,batch_norm
22,2,3,0.9332779106845536,0.6436166666666666,127.39872097969055,382.8452477455139,0.0005,2,1,cuda,normal,batch_norm
23,2,4,0.8797471082623786,0.66395,127.72698330879211,510.6557970046997,0.0005,2,1,cuda,normal,batch_norm
24,2,5,0.8278673750284138,0.6813166666666667,127.81633043289185,638.5592701435089,0.0005,2,1,cuda,normal,batch_norm
25,2,6,0.8364061156968673,0.67455,127.37177562713623,766.0194361209869,0.0005,2,1,cuda,normal,batch_norm
26,2,7,0.8197976559014893,0.6851333333333334,127.5269501209259,893.6306128501892,0.0005,2,1,cuda,normal,batch_norm
27,2,8,0.8174477393132982,0.6874833333333333,127.58831477165222,1021.2997229099274,0.0005,2,1,cuda,normal,batch_norm
28,2,9,0.8705278685923753,0.6713666666666667,127.4772276878357,1148.8526225090027,0.0005,2,1,cuda,normal,batch_norm
29,2,10,0.839237885286595,0.6822833333333334,127.21647024154663,1276.1547672748566,0.0005,2,1,cuda,normal,batch_norm
30,2,11,0.8243069103939653,0.6811166666666667,127.49471545219421,1403.7449216842651,0.0005,2,1,cuda,normal,batch_norm
31,2,12,0.8555762377989372,0.6757833333333333,127.51826310157776,1531.351243019104,0.0005,2,1,cuda,normal,batch_norm
32,2,13,0.8432115888096017,0.6806333333333333,126.99294829368591,1658.4284965991974,0.0005,2,1,cuda,normal,batch_norm
33,2,14,0.8585778857406733,0.6744333333333333,127.72133469581604,1786.235401391983,0.0005,2,1,cuda,normal,batch_norm
34,2,15,0.842053390820371,0.683,127.31076097488403,1913.6361293792725,0.0005,2,1,cuda,normal,batch_norm
35,2,16,0.8003785836952072,0.6967,129.41954112052917,2043.1369607448578,0.0005,2,1,cuda,normal,batch_norm
36,2,17,0.784231153886023,0.7000666666666666,127.35366702079773,2170.581030845642,0.0005,2,1,cuda,normal,batch_norm
37,2,18,0.8043083779254796,0.69085,129.7346773147583,2300.405396461487,0.0005,2,1,cuda,normal,batch_norm
38,2,19,0.7736903357603325,0.7004,126.96439838409424,2427.4585325717926,0.0005,2,1,cuda,normal,batch_norm
39,2,20,0.8065991803943995,0.69465,127.51861715316772,2555.0763347148895,0.0005,2,1,cuda,normal,batch_norm
40,3,1,0.4404016709508383,0.8377833333333333,123.64028787612915,123.70539140701294,0.0005,2,1,cuda,normal,layer_norm
41,3,2,0.3181074424812353,0.8826166666666667,123.25639343261719,247.05311012268066,0.0005,2,1,cuda,normal,layer_norm
42,3,3,0.2821229943405674,0.89545,123.5730459690094,370.7222180366516,0.0005,2,1,cuda,normal,layer_norm
43,3,4,0.2587705679718628,0.9045833333333333,123.3547956943512,494.1751112937927,0.0005,2,1,cuda,normal,layer_norm
